Label_JD,Job Title,Location,Company,Job Type,Job Description
JD 1115,Customer Service Agent,"Johor Bahru, Malaysia",Brown-Murphy,Remote,"As a Customer Service Agent, you will be responsible for developing software. The ideal candidate should have a degree in a relevant field and be passionate about Marketing. Join our dynamic team at Brown-Murphy and contribute to shaping the future of the industry."
JD 1116,Financial Analyst,"George Town, Malaysia",West-Carlson,Remote,"As a Financial Analyst, you will be responsible for building client relationships. The ideal candidate should have excellent communication skills and be passionate about Finance. Join our dynamic team at West-Carlson and contribute to building a better tomorrow."
JD 1117,Data Analyst,"Shah Alam, Malaysia",Miller Group,Part-time,"As a Data Analyst, you will be responsible for managing projects. The ideal candidate should have a customer-oriented mindset and be passionate about Finance. Join our dynamic team at Miller Group and contribute to building a better tomorrow."
JD 1118,Data Analyst,"Pasir Ris, Singapore","Walker, Bender and Sanford",Contract,"We are looking for a dedicated Data Analyst to join our Finance team at Walker, Bender and Sanford. Your role will involve designing creative solutions. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1119,UX Designer,"Kuching, Malaysia","Mcguire, Lambert and Gordon",Temporary,"As a UX Designer, you will be responsible for developing software. The ideal candidate should have a degree in a relevant field and be passionate about Marketing. Join our dynamic team at Mcguire, Lambert and Gordon and contribute to delivering exceptional results."
JD 1120,Sales Executive,"Kuching, Malaysia","Hammond, Martinez and Medina",Internship,"As a Sales Executive, you will be responsible for designing creative solutions. The ideal candidate should have strong technical knowledge and be passionate about Engineering. Join our dynamic team at Hammond, Martinez and Medina and contribute to delivering exceptional results."
JD 1121,Civil Engineer,"Kuching, Malaysia",Thomas LLC,Temporary,"As a Civil Engineer, you will be responsible for building client relationships. The ideal candidate should have proven experience and be passionate about Finance. Join our dynamic team at Thomas LLC and contribute to delivering exceptional results."
JD 1122,Graphic Designer,"Shah Alam, Malaysia",Allen Group,Part-time,"We are looking for a dedicated Graphic Designer to join our Creative Design team at Allen Group. Your role will involve building client relationships. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1123,Marketing Specialist,Singapore,"Carter, Hanson and Newman",Part-time,"We are looking for a dedicated Marketing Specialist to join our Marketing team at Carter, Hanson and Newman. Your role will involve designing creative solutions. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1124,Project Manager,"Pasir Ris, Singapore","Weaver, Mcdaniel and Jarvis",Contract,"As a Project Manager, you will be responsible for analyzing data. The ideal candidate should have a customer-oriented mindset and be passionate about Finance. Join our dynamic team at Weaver, Mcdaniel and Jarvis and contribute to shaping the future of the industry."
JD 1125,Financial Analyst,Singapore,Lawson PLC,Temporary,"As a Financial Analyst, you will be responsible for analyzing data. The ideal candidate should have proven experience and be passionate about Finance. Join our dynamic team at Lawson PLC and contribute to shaping the future of the industry."
JD 1126,Cybersecurity Specialist,"Seria, Brunei",Brown Group,Internship,"As a Cybersecurity Specialist, you will be responsible for designing creative solutions. The ideal candidate should have excellent communication skills and be passionate about Finance. Join our dynamic team at Brown Group and contribute to building a better tomorrow."
JD 1127,Data Analyst,Singapore,Dorsey-Walker,Temporary,"As a Data Analyst, you will be responsible for developing software. The ideal candidate should have proven experience and be passionate about Marketing. Join our dynamic team at Dorsey-Walker and contribute to building a better tomorrow."
JD 1128,Financial Analyst,"Seria, Brunei",Miller Group,Internship,"As a Financial Analyst, you will be responsible for developing software. The ideal candidate should have proven experience and be passionate about Marketing. Join our dynamic team at Miller Group and contribute to shaping the future of the industry."
JD 1129,Customer Service Agent,Singapore,Lowery PLC,Internship,"As a Customer Service Agent, you will be responsible for developing software. The ideal candidate should have proven experience and be passionate about Finance. Join our dynamic team at Lowery PLC and contribute to shaping the future of the industry."
JD 1130,Civil Engineer,"Bandar Seri Begawan, Brunei","Gonzales, Francis and Curtis",Contract,"As a Civil Engineer, you will be responsible for leading teams. The ideal candidate should have a customer-oriented mindset and be passionate about Creative Design. Join our dynamic team at Gonzales, Francis and Curtis and contribute to shaping the future of the industry."
JD 1131,UX Designer,"Kuching, Malaysia",Chang Ltd,Temporary,"As a UX Designer, you will be responsible for leading teams. The ideal candidate should have a degree in a relevant field and be passionate about Marketing. Join our dynamic team at Chang Ltd and contribute to shaping the future of the industry."
JD 1132,Graphic Designer,"Kuching, Malaysia","Smith, Garner and Navarro",Full-time,"We are looking for a dedicated Graphic Designer to join our Finance team at Smith, Garner and Navarro. Your role will involve analyzing data. If you have experience in proven experience, apply today and make a difference!"
JD 1133,Project Manager,"Seria, Brunei",Jenkins Ltd,Temporary,"As a Project Manager, you will be responsible for managing projects. The ideal candidate should have a customer-oriented mindset and be passionate about Engineering. Join our dynamic team at Jenkins Ltd and contribute to building a better tomorrow."
JD 1134,Civil Engineer,"Pasir Ris, Singapore",Suarez and Sons,Contract,"As a Civil Engineer, you will be responsible for analyzing data. The ideal candidate should have a degree in a relevant field and be passionate about Engineering. Join our dynamic team at Suarez and Sons and contribute to delivering exceptional results."
JD 1135,Civil Engineer,"Kuching, Malaysia","Cohen, Burton and Richards",Contract,"As a Civil Engineer, you will be responsible for building client relationships. The ideal candidate should have a customer-oriented mindset and be passionate about Engineering. Join our dynamic team at Cohen, Burton and Richards and contribute to building a better tomorrow."
JD 1136,HR Manager,"Seria, Brunei",Frye-Henry,Remote,"We are looking for a dedicated HR Manager to join our Finance team at Frye-Henry. Your role will involve designing creative solutions. If you have experience in proven experience, apply today and make a difference!"
JD 1137,Cybersecurity Specialist,"George Town, Malaysia",David-Young,Temporary,"We are looking for a dedicated Cybersecurity Specialist to join our Creative Design team at David-Young. Your role will involve designing creative solutions. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1138,Sales Executive,"Kuala Lumpur, Malaysia",Santiago-May,Contract,"As a Sales Executive, you will be responsible for designing creative solutions. The ideal candidate should have proven experience and be passionate about Finance. Join our dynamic team at Santiago-May and contribute to shaping the future of the industry."
JD 1139,Financial Analyst,"Kuala Lumpur, Malaysia",Hall-Robinson,Temporary,"We are looking for a dedicated Financial Analyst to join our Finance team at Hall-Robinson. Your role will involve analyzing data. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1140,UX Designer,"George Town, Malaysia",Jones-Roberts,Temporary,"We are looking for a dedicated UX Designer to join our IT team at Jones-Roberts. Your role will involve building client relationships. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1141,Marketing Specialist,"Seria, Brunei",Sellers-Guerrero,Part-time,"As a Marketing Specialist, you will be responsible for analyzing data. The ideal candidate should have proven experience and be passionate about Creative Design. Join our dynamic team at Sellers-Guerrero and contribute to delivering exceptional results."
JD 1142,Sales Executive,"Johor Bahru, Malaysia","Franklin, Anderson and Sullivan",Temporary,"We are looking for a dedicated Sales Executive to join our Creative Design team at Franklin, Anderson and Sullivan. Your role will involve designing creative solutions. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1143,UX Designer,"Pasir Ris, Singapore","Armstrong, Chambers and Tran",Part-time,"As a UX Designer, you will be responsible for designing creative solutions. The ideal candidate should have a degree in a relevant field and be passionate about IT. Join our dynamic team at Armstrong, Chambers and Tran and contribute to shaping the future of the industry."
JD 1144,Data Analyst,Singapore,Peters-Rodriguez,Remote,"As a Data Analyst, you will be responsible for managing projects. The ideal candidate should have excellent communication skills and be passionate about Creative Design. Join our dynamic team at Peters-Rodriguez and contribute to delivering exceptional results."
JD 1145,UX Designer,"Kuching, Malaysia",Schneider-Butler,Part-time,"As a UX Designer, you will be responsible for developing software. The ideal candidate should have strong technical knowledge and be passionate about Creative Design. Join our dynamic team at Schneider-Butler and contribute to shaping the future of the industry."
JD 1146,Cybersecurity Specialist,"George Town, Malaysia",Finley PLC,Temporary,"We are looking for a dedicated Cybersecurity Specialist to join our Marketing team at Finley PLC. Your role will involve leading teams. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1147,Graphic Designer,"Kuala Lumpur, Malaysia",Blackburn LLC,Part-time,"We are looking for a dedicated Graphic Designer to join our Marketing team at Blackburn LLC. Your role will involve building client relationships. If you have experience in proven experience, apply today and make a difference!"
JD 1148,Software Developer,"Shah Alam, Malaysia",Alexander-Phillips,Part-time,"As a Software Developer, you will be responsible for building client relationships. The ideal candidate should have a customer-oriented mindset and be passionate about Finance. Join our dynamic team at Alexander-Phillips and contribute to building a better tomorrow."
JD 1149,Financial Analyst,"Johor Bahru, Malaysia",Flores-Mercer,Remote,"As a Financial Analyst, you will be responsible for leading teams. The ideal candidate should have proven experience and be passionate about Marketing. Join our dynamic team at Flores-Mercer and contribute to shaping the future of the industry."
JD 1150,Data Analyst,"Johor Bahru, Malaysia",Trevino-Meadows,Full-time,"As a Data Analyst, you will be responsible for building client relationships. The ideal candidate should have a customer-oriented mindset and be passionate about Marketing. Join our dynamic team at Trevino-Meadows and contribute to building a better tomorrow."
JD 1151,Graphic Designer,"Bandar Seri Begawan, Brunei",Mcmillan LLC,Remote,"We are looking for a dedicated Graphic Designer to join our Creative Design team at Mcmillan LLC. Your role will involve managing projects. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1152,UX Designer,"Pasir Ris, Singapore","Newman, Ramirez and Yang",Remote,"As a UX Designer, you will be responsible for designing creative solutions. The ideal candidate should have excellent communication skills and be passionate about IT. Join our dynamic team at Newman, Ramirez and Yang and contribute to building a better tomorrow."
JD 1153,Civil Engineer,"Shah Alam, Malaysia","Hanson, Phelps and Taylor",Internship,"As a Civil Engineer, you will be responsible for developing software. The ideal candidate should have proven experience and be passionate about Engineering. Join our dynamic team at Hanson, Phelps and Taylor and contribute to shaping the future of the industry."
JD 1154,Financial Analyst,"Pasir Ris, Singapore","Bell, Brown and Robertson",Full-time,"As a Financial Analyst, you will be responsible for developing software. The ideal candidate should have excellent communication skills and be passionate about Creative Design. Join our dynamic team at Bell, Brown and Robertson and contribute to building a better tomorrow."
JD 1155,Civil Engineer,"George Town, Malaysia",Brown-Robbins,Remote,"We are looking for a dedicated Civil Engineer to join our Finance team at Brown-Robbins. Your role will involve developing software. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1156,Graphic Designer,"Kuching, Malaysia",Cain-Ball,Temporary,"As a Graphic Designer, you will be responsible for managing projects. The ideal candidate should have strong technical knowledge and be passionate about Engineering. Join our dynamic team at Cain-Ball and contribute to shaping the future of the industry."
JD 1157,Project Manager,"Kuching, Malaysia","Gutierrez, Kemp and Mason",Remote,"We are looking for a dedicated Project Manager to join our Finance team at Gutierrez, Kemp and Mason. Your role will involve leading teams. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1158,Data Analyst,"Shah Alam, Malaysia",Molina Ltd,Part-time,"We are looking for a dedicated Data Analyst to join our Engineering team at Molina Ltd. Your role will involve analyzing data. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1159,Project Manager,"Kuala Lumpur, Malaysia","Nichols, Taylor and Allen",Part-time,"We are looking for a dedicated Project Manager to join our IT team at Nichols, Taylor and Allen. Your role will involve managing projects. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1160,Data Analyst,Singapore,Livingston Inc,Contract,"As a Data Analyst, you will be responsible for managing projects. The ideal candidate should have a degree in a relevant field and be passionate about Finance. Join our dynamic team at Livingston Inc and contribute to shaping the future of the industry."
JD 1161,Customer Service Agent,"Pasir Ris, Singapore",Carpenter and Sons,Internship,"As a Customer Service Agent, you will be responsible for leading teams. The ideal candidate should have proven experience and be passionate about IT. Join our dynamic team at Carpenter and Sons and contribute to building a better tomorrow."
JD 1162,Data Analyst,"Bandar Seri Begawan, Brunei","Cunningham, Hall and Proctor",Part-time,"As a Data Analyst, you will be responsible for developing software. The ideal candidate should have strong technical knowledge and be passionate about Finance. Join our dynamic team at Cunningham, Hall and Proctor and contribute to shaping the future of the industry."
JD 1163,Project Manager,"Shah Alam, Malaysia",Young Group,Internship,"We are looking for a dedicated Project Manager to join our Engineering team at Young Group. Your role will involve analyzing data. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1164,Graphic Designer,"George Town, Malaysia",Barron Ltd,Remote,"We are looking for a dedicated Graphic Designer to join our Engineering team at Barron Ltd. Your role will involve managing projects. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1165,Customer Service Agent,"Kuala Lumpur, Malaysia","Mccormick, Mendoza and Mendoza",Full-time,"As a Customer Service Agent, you will be responsible for building client relationships. The ideal candidate should have strong technical knowledge and be passionate about Engineering. Join our dynamic team at Mccormick, Mendoza and Mendoza and contribute to shaping the future of the industry."
JD 1166,HR Manager,Singapore,Chen and Sons,Part-time,"As a HR Manager, you will be responsible for designing creative solutions. The ideal candidate should have proven experience and be passionate about Creative Design. Join our dynamic team at Chen and Sons and contribute to building a better tomorrow."
JD 1167,Financial Analyst,"Pasir Ris, Singapore","Fisher, Schneider and Freeman",Temporary,"We are looking for a dedicated Financial Analyst to join our IT team at Fisher, Schneider and Freeman. Your role will involve managing projects. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1168,Project Manager,"Bandar Seri Begawan, Brunei",Moody Group,Remote,"As a Project Manager, you will be responsible for building client relationships. The ideal candidate should have strong technical knowledge and be passionate about Marketing. Join our dynamic team at Moody Group and contribute to shaping the future of the industry."
JD 1169,Civil Engineer,"Seria, Brunei",Hickman-Carter,Temporary,"We are looking for a dedicated Civil Engineer to join our Engineering team at Hickman-Carter. Your role will involve managing projects. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1170,Graphic Designer,"Pasir Ris, Singapore",Neal Ltd,Temporary,"We are looking for a dedicated Graphic Designer to join our IT team at Neal Ltd. Your role will involve analyzing data. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1171,Marketing Specialist,"Kuching, Malaysia",Lewis and Sons,Contract,"We are looking for a dedicated Marketing Specialist to join our Creative Design team at Lewis and Sons. Your role will involve leading teams. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1172,Data Analyst,"George Town, Malaysia","Meyers, Douglas and Stewart",Temporary,"As a Data Analyst, you will be responsible for analyzing data. The ideal candidate should have a degree in a relevant field and be passionate about Creative Design. Join our dynamic team at Meyers, Douglas and Stewart and contribute to building a better tomorrow."
JD 1173,Civil Engineer,"Kuching, Malaysia","Matthews, Morrison and Guerrero",Part-time,"As a Civil Engineer, you will be responsible for analyzing data. The ideal candidate should have strong technical knowledge and be passionate about Finance. Join our dynamic team at Matthews, Morrison and Guerrero and contribute to building a better tomorrow."
JD 1174,Marketing Specialist,"Seria, Brunei",Suarez-Williams,Contract,"We are looking for a dedicated Marketing Specialist to join our Creative Design team at Suarez-Williams. Your role will involve developing software. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1175,Software Developer,Singapore,Johnson Group,Part-time,"We are looking for a dedicated Software Developer to join our Finance team at Johnson Group. Your role will involve developing software. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1176,Project Manager,"Shah Alam, Malaysia",Smith-Anderson,Remote,"As a Project Manager, you will be responsible for designing creative solutions. The ideal candidate should have a customer-oriented mindset and be passionate about Finance. Join our dynamic team at Smith-Anderson and contribute to building a better tomorrow."
JD 1177,Sales Executive,"Kuala Lumpur, Malaysia","Barnes, King and Mathis",Part-time,"As a Sales Executive, you will be responsible for building client relationships. The ideal candidate should have proven experience and be passionate about Engineering. Join our dynamic team at Barnes, King and Mathis and contribute to delivering exceptional results."
JD 1178,HR Manager,Singapore,"Winters, Booth and Villegas",Contract,"As a HR Manager, you will be responsible for leading teams. The ideal candidate should have a customer-oriented mindset and be passionate about Marketing. Join our dynamic team at Winters, Booth and Villegas and contribute to building a better tomorrow."
JD 1179,Data Analyst,"Seria, Brunei","Smith, Griffin and Paul",Remote,"We are looking for a dedicated Data Analyst to join our Finance team at Smith, Griffin and Paul. Your role will involve developing software. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1180,Marketing Specialist,"Seria, Brunei","Holt, Ewing and Moore",Temporary,"We are looking for a dedicated Marketing Specialist to join our IT team at Holt, Ewing and Moore. Your role will involve analyzing data. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1181,Customer Service Agent,"Johor Bahru, Malaysia",Haynes-Green,Full-time,"We are looking for a dedicated Customer Service Agent to join our IT team at Haynes-Green. Your role will involve developing software. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1182,Marketing Specialist,"Kuching, Malaysia","May, Norris and Rogers",Remote,"As a Marketing Specialist, you will be responsible for analyzing data. The ideal candidate should have strong technical knowledge and be passionate about Marketing. Join our dynamic team at May, Norris and Rogers and contribute to building a better tomorrow."
JD 1183,UX Designer,"Shah Alam, Malaysia","Jackson, Decker and Ramirez",Remote,"As a UX Designer, you will be responsible for analyzing data. The ideal candidate should have proven experience and be passionate about Creative Design. Join our dynamic team at Jackson, Decker and Ramirez and contribute to shaping the future of the industry."
JD 1184,HR Manager,"Seria, Brunei",Cox Group,Internship,"As a HR Manager, you will be responsible for designing creative solutions. The ideal candidate should have excellent communication skills and be passionate about Creative Design. Join our dynamic team at Cox Group and contribute to shaping the future of the industry."
JD 1185,Customer Service Agent,"Seria, Brunei",Richard and Sons,Part-time,"We are looking for a dedicated Customer Service Agent to join our Creative Design team at Richard and Sons. Your role will involve analyzing data. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1186,Graphic Designer,"Kuala Lumpur, Malaysia",Rodriguez-Smith,Full-time,"We are looking for a dedicated Graphic Designer to join our IT team at Rodriguez-Smith. Your role will involve developing software. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1187,Marketing Specialist,"Kuching, Malaysia",Allison Ltd,Temporary,"We are looking for a dedicated Marketing Specialist to join our Marketing team at Allison Ltd. Your role will involve managing projects. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1188,Customer Service Agent,"Kuala Lumpur, Malaysia",Brown Ltd,Temporary,"As a Customer Service Agent, you will be responsible for developing software. The ideal candidate should have proven experience and be passionate about Marketing. Join our dynamic team at Brown Ltd and contribute to shaping the future of the industry."
JD 1189,HR Manager,"Bandar Seri Begawan, Brunei",Robinson Inc,Full-time,"As a HR Manager, you will be responsible for managing projects. The ideal candidate should have a degree in a relevant field and be passionate about Engineering. Join our dynamic team at Robinson Inc and contribute to building a better tomorrow."
JD 1190,Cybersecurity Specialist,"Kuching, Malaysia","Rodriguez, White and Shelton",Temporary,"We are looking for a dedicated Cybersecurity Specialist to join our Finance team at Rodriguez, White and Shelton. Your role will involve managing projects. If you have experience in proven experience, apply today and make a difference!"
JD 1191,HR Manager,"Seria, Brunei",Zuniga-Bean,Internship,"We are looking for a dedicated HR Manager to join our Marketing team at Zuniga-Bean. Your role will involve analyzing data. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1192,Marketing Specialist,"Johor Bahru, Malaysia",Soto Group,Full-time,"As a Marketing Specialist, you will be responsible for leading teams. The ideal candidate should have strong technical knowledge and be passionate about IT. Join our dynamic team at Soto Group and contribute to building a better tomorrow."
JD 1193,Cybersecurity Specialist,"Bandar Seri Begawan, Brunei",Carlson Inc,Temporary,"We are looking for a dedicated Cybersecurity Specialist to join our Marketing team at Carlson Inc. Your role will involve leading teams. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1194,Cybersecurity Specialist,"Shah Alam, Malaysia","Collins, Richardson and Shepherd",Contract,"As a Cybersecurity Specialist, you will be responsible for building client relationships. The ideal candidate should have a degree in a relevant field and be passionate about Engineering. Join our dynamic team at Collins, Richardson and Shepherd and contribute to shaping the future of the industry."
JD 1195,Project Manager,"Kuala Lumpur, Malaysia","Hancock, Sanchez and Vargas",Part-time,"We are looking for a dedicated Project Manager to join our Marketing team at Hancock, Sanchez and Vargas. Your role will involve designing creative solutions. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1196,Project Manager,"George Town, Malaysia",Matthews-Pierce,Temporary,"We are looking for a dedicated Project Manager to join our Finance team at Matthews-Pierce. Your role will involve analyzing data. If you have experience in proven experience, apply today and make a difference!"
JD 1197,Software Developer,"Seria, Brunei",Moore Group,Part-time,"We are looking for a dedicated Software Developer to join our Engineering team at Moore Group. Your role will involve designing creative solutions. If you have experience in proven experience, apply today and make a difference!"
JD 1198,Financial Analyst,"Kuching, Malaysia","Silva, Smith and Li",Full-time,"As a Financial Analyst, you will be responsible for developing software. The ideal candidate should have a degree in a relevant field and be passionate about Finance. Join our dynamic team at Silva, Smith and Li and contribute to shaping the future of the industry."
JD 1199,UX Designer,"Kuala Lumpur, Malaysia",Brooks-Salazar,Full-time,"As a UX Designer, you will be responsible for analyzing data. The ideal candidate should have a customer-oriented mindset and be passionate about Engineering. Join our dynamic team at Brooks-Salazar and contribute to delivering exceptional results."
JD 1200,Marketing Specialist,"Kuching, Malaysia","Torres, Butler and Jones",Part-time,"As a Marketing Specialist, you will be responsible for building client relationships. The ideal candidate should have strong technical knowledge and be passionate about Engineering. Join our dynamic team at Torres, Butler and Jones and contribute to shaping the future of the industry."
JD 1201,Civil Engineer,"Pasir Ris, Singapore",Moore-Page,Contract,"As a Civil Engineer, you will be responsible for leading teams. The ideal candidate should have excellent communication skills and be passionate about Creative Design. Join our dynamic team at Moore-Page and contribute to shaping the future of the industry."
JD 1202,Sales Executive,"Kuching, Malaysia",Beasley-Olson,Full-time,"We are looking for a dedicated Sales Executive to join our Marketing team at Beasley-Olson. Your role will involve leading teams. If you have experience in a customer-oriented mindset, apply today and make a difference!"
JD 1203,Project Manager,"Shah Alam, Malaysia",Martin-Wiggins,Internship,"As a Project Manager, you will be responsible for managing projects. The ideal candidate should have strong technical knowledge and be passionate about Engineering. Join our dynamic team at Martin-Wiggins and contribute to building a better tomorrow."
JD 1204,Marketing Specialist,"Kuching, Malaysia",Richardson LLC,Part-time,"As a Marketing Specialist, you will be responsible for designing creative solutions. The ideal candidate should have a degree in a relevant field and be passionate about Marketing. Join our dynamic team at Richardson LLC and contribute to delivering exceptional results."
JD 1205,Sales Executive,"Kuala Lumpur, Malaysia",Wilson-Miller,Full-time,"We are looking for a dedicated Sales Executive to join our Creative Design team at Wilson-Miller. Your role will involve building client relationships. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1206,Civil Engineer,"Kuala Lumpur, Malaysia","Walker, Thompson and Rice",Remote,"We are looking for a dedicated Civil Engineer to join our Creative Design team at Walker, Thompson and Rice. Your role will involve leading teams. If you have experience in proven experience, apply today and make a difference!"
JD 1207,Software Developer,Singapore,"Mitchell, Rangel and Pratt",Part-time,"As a Software Developer, you will be responsible for developing software. The ideal candidate should have proven experience and be passionate about Marketing. Join our dynamic team at Mitchell, Rangel and Pratt and contribute to building a better tomorrow."
JD 1208,Data Analyst,"Seria, Brunei",Fowler Ltd,Internship,"As a Data Analyst, you will be responsible for analyzing data. The ideal candidate should have proven experience and be passionate about Engineering. Join our dynamic team at Fowler Ltd and contribute to shaping the future of the industry."
JD 1209,UX Designer,"Pasir Ris, Singapore",Barron-Johnson,Part-time,"As a UX Designer, you will be responsible for designing creative solutions. The ideal candidate should have a degree in a relevant field and be passionate about Marketing. Join our dynamic team at Barron-Johnson and contribute to shaping the future of the industry."
JD 1210,Financial Analyst,Singapore,"Johnson, Brown and Contreras",Full-time,"We are looking for a dedicated Financial Analyst to join our Marketing team at Johnson, Brown and Contreras. Your role will involve leading teams. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1211,Software Developer,"Bandar Seri Begawan, Brunei",Harris LLC,Full-time,"We are looking for a dedicated Software Developer to join our Marketing team at Harris LLC. Your role will involve designing creative solutions. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1212,Data Analyst,"Pasir Ris, Singapore",Juarez LLC,Internship,"As a Data Analyst, you will be responsible for designing creative solutions. The ideal candidate should have a degree in a relevant field and be passionate about Creative Design. Join our dynamic team at Juarez LLC and contribute to shaping the future of the industry."
JD 1213,UX Designer,"George Town, Malaysia","Wright, Gibbs and Rodriguez",Part-time,"As a UX Designer, you will be responsible for building client relationships. The ideal candidate should have strong technical knowledge and be passionate about Marketing. Join our dynamic team at Wright, Gibbs and Rodriguez and contribute to building a better tomorrow."
JD 1214,Financial Analyst,"Johor Bahru, Malaysia","Garrett, Mitchell and Herman",Internship,"As a Financial Analyst, you will be responsible for building client relationships. The ideal candidate should have a customer-oriented mindset and be passionate about Marketing. Join our dynamic team at Garrett, Mitchell and Herman and contribute to shaping the future of the industry."
JD 1215,Marketing Specialist,"Kuala Lumpur, Malaysia",White LLC,Temporary,"We are looking for a dedicated Marketing Specialist to join our Creative Design team at White LLC. Your role will involve managing projects. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1216,Customer Service Agent,"Bandar Seri Begawan, Brunei",Neal Inc,Temporary,"As a Customer Service Agent, you will be responsible for designing creative solutions. The ideal candidate should have a degree in a relevant field and be passionate about Marketing. Join our dynamic team at Neal Inc and contribute to building a better tomorrow."
JD 1217,Marketing Specialist,"Kuala Lumpur, Malaysia",Macdonald-Hendricks,Part-time,"We are looking for a dedicated Marketing Specialist to join our IT team at Macdonald-Hendricks. Your role will involve developing software. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1218,Financial Analyst,"Seria, Brunei",Goodman-Davis,Full-time,"We are looking for a dedicated Financial Analyst to join our IT team at Goodman-Davis. Your role will involve designing creative solutions. If you have experience in strong technical knowledge, apply today and make a difference!"
JD 1219,Data Analyst,"George Town, Malaysia",Price Ltd,Internship,"As a Data Analyst, you will be responsible for designing creative solutions. The ideal candidate should have a degree in a relevant field and be passionate about IT. Join our dynamic team at Price Ltd and contribute to shaping the future of the industry."
JD 1220,Cybersecurity Specialist,"George Town, Malaysia","Nielsen, Stewart and Nguyen",Contract,"We are looking for a dedicated Cybersecurity Specialist to join our Finance team at Nielsen, Stewart and Nguyen. Your role will involve developing software. If you have experience in a degree in a relevant field, apply today and make a difference!"
JD 1221,Software Developer,"Kuching, Malaysia",Ferguson Group,Part-time,"We are looking for a dedicated Software Developer to join our IT team at Ferguson Group. Your role will involve building client relationships. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1222,Financial Analyst,"Pasir Ris, Singapore","Wiggins, Torres and White",Temporary,"We are looking for a dedicated Financial Analyst to join our Marketing team at Wiggins, Torres and White. Your role will involve leading teams. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1223,Marketing Specialist,"Kuala Lumpur, Malaysia",Hunter Inc,Temporary,"As a Marketing Specialist, you will be responsible for managing projects. The ideal candidate should have excellent communication skills and be passionate about Creative Design. Join our dynamic team at Hunter Inc and contribute to shaping the future of the industry."
JD 1224,Civil Engineer,"Kuching, Malaysia","Steele, Ross and Waters",Temporary,"We are looking for a dedicated Civil Engineer to join our Engineering team at Steele, Ross and Waters. Your role will involve managing projects. If you have experience in excellent communication skills, apply today and make a difference!"
JD 1225,Financial Analyst,"Bandar Seri Begawan, Brunei","Benjamin, Jones and Bernard",Part-time,"As a Financial Analyst, you will be responsible for developing software. The ideal candidate should have a degree in a relevant field and be passionate about Marketing. Join our dynamic team at Benjamin, Jones and Bernard and contribute to building a better tomorrow."
JD 1226,Graphic Designer,"Johor Bahru, Malaysia",Rodriguez-Simmons,Internship,"As a Graphic Designer, you will be responsible for building client relationships. The ideal candidate should have a customer-oriented mindset and be passionate about IT. Join our dynamic team at Rodriguez-Simmons and contribute to shaping the future of the industry."
JD 1227,Marketing Specialist,"Bandar Seri Begawan, Brunei",Taylor-Walters,Internship,"As a Marketing Specialist, you will be responsible for designing creative solutions. The ideal candidate should have excellent communication skills and be passionate about Engineering. Join our dynamic team at Taylor-Walters and contribute to shaping the future of the industry."
JD 1228,Cybersecurity Specialist,"Kuala Lumpur, Malaysia","Ferguson, Jackson and Hansen",Full-time,"As a Cybersecurity Specialist, you will be responsible for leading teams. The ideal candidate should have a degree in a relevant field and be passionate about Finance. Join our dynamic team at Ferguson, Jackson and Hansen and contribute to delivering exceptional results."
